run_name,run_id,data_version,include_food,include_rain,include_text,conflict_only_embeddings,use_pca,k,threshold_fix_applied,n_splits,event_col,optimal_threshold,n_predictors,onset_aupr,onset_precision_class1,onset_recall_class1,onset_f1_class1,active_aupr,active_precision_class1,active_recall_class1,active_f1_class1,param_subsample,param_reg_lambda,param_reg_alpha,param_min_child_weight,param_max_depth,param_max_delta_step,param_learning_rate,param_gamma,param_colsample_bytree,param_colsample_bylevel,param_k,param_n_splits,param_event_col
acled_event_food_text_all_0.5_4,c716da6f9d1640f5aec5bd4bddf70b17,acled_event_food_text_all,True,False,True,False,False,0.5,False,4,event_type,0.3871,781,0.3573,0.3704,1.0000,0.5405,0.3491,0.3271,1.0000,0.4930,0.8,5,2,5,3,0,0.01,0,0.8,0.6,0.5,4,event_type
acled_event_food_text_all_pca_0.5_5,3ae1fcc60dcf4115a7c5009fdb703b76,acled_event_food_text_all,True,False,True,False,True,0.5,False,5,event_type,0.1844,63,0.3300,0.3497,0.8000,0.4867,0.3227,0.3296,0.8440,0.4741,0.8,1,0.1,3,7,5,0.05,5,0.8,0.8,0.5,5,event_type
acled_event_food_text_all_0.5_5,2ff5e93f7daa41799b52fa6639d3a765,acled_event_food_text_all,True,False,True,False,False,0.5,False,5,event_type,0.3414,781,0.3549,0.3464,0.6625,0.4549,0.3207,0.3346,0.6028,0.4304,1.0,10,0,1,5,0,0.1,5,0.8,0.8,0.5,5,event_type
acled_sub_food_text_conflict_pca_0.75_4,04d7ebaa18154badacfc34209f98b68a,acled_sub_food_text_conflict,True,False,True,True,True,0.75,False,4,sub_event_type,0.4246,55,0.4223,0.3874,0.5733,0.4624,0.2970,0.3013,0.6053,0.4023,1.0,5,1,3,7,5,0.01,5,1.0,0.6,0.75,4,sub_event_type
acled_sub_food_text_conflict_0.75_4,cfbc821b2d414ec1a0037eacbbdb1145,acled_sub_food_text_conflict,True,False,True,True,False,0.75,False,4,sub_event_type,0.3903,799,0.4074,0.3988,0.8933,0.5514,0.3085,0.2846,0.9211,0.4348,0.6,10,2,1,3,5,0.03,1,0.6,0.8,0.75,4,sub_event_type
acled_sub_food_text_conflict_pca_0.75_5,f855dda1e99f49ff95da5cd1c8f9aa36,acled_sub_food_text_conflict,True,False,True,True,True,0.75,False,5,sub_event_type,0.1214,55,0.4253,0.3404,0.8533,0.4867,0.2985,0.2868,0.9561,0.4413,0.6,1,2,5,3,0,0.1,3,1.0,0.8,0.75,5,sub_event_type
acled_sub_food_text_conflict_0.75_5,74d0f353059944209b46d42ef9b028a0,acled_sub_food_text_conflict,True,False,True,True,False,0.75,False,5,sub_event_type,0.3504,799,0.3646,0.3824,0.6933,0.4929,0.3176,0.2806,0.8246,0.4187,0.8,10,2,3,7,5,0.03,5,1.0,0.8,0.75,5,sub_event_type
acled_sub_food_text_all_pca_0.75_4,f2078e1d10ea47cdb7bcf86ca186db76,acled_sub_food_text_all,True,False,True,False,True,0.75,False,4,sub_event_type,0.0446,81,0.3239,0.3472,1.0000,0.5155,0.3018,0.2639,1.0000,0.4176,0.6,10,1,1,5,5,0.1,1,0.6,0.8,0.75,4,sub_event_type
acled_sub_food_text_all_0.75_4,8b9da566bd104eeea3b871a9a6fb558e,acled_sub_food_text_all,True,False,True,False,False,0.75,False,4,sub_event_type,0.0462,799,0.3323,0.3488,1.0000,0.5172,0.3035,0.2670,1.0000,0.4214,0.6,1,1,1,3,0,0.1,1,0.6,0.8,0.75,4,sub_event_type
acled_sub_food_text_all_pca_0.75_5,4ac79e6e065048ae8c58bd0e5bce5299,acled_sub_food_text_all,True,False,True,False,True,0.75,False,5,sub_event_type,0.0246,81,0.3469,0.3472,1.0000,0.5155,0.2946,0.2639,1.0000,0.4176,0.6,5,0.1,1,7,0,0.1,1,0.6,0.6,0.75,5,sub_event_type
