run_name,run_id,data_version,threshold_fix_applied,include_food,include_rain,include_text,conflict_only_embeddings,use_pca,k,n_splits,event_col,optimal_threshold,n_predictors,onset_aupr,onset_precision_class1,onset_recall_class1,onset_f1_class1,active_aupr,active_precision_class1,active_recall_class1,active_f1_class1,param_subsample,param_reg_lambda,param_reg_alpha,param_min_child_weight,param_max_depth,param_max_delta_step,param_learning_rate,param_gamma,param_colsample_bytree,param_colsample_bylevel,param_k,param_n_splits,param_event_col
acled_sub_rain_text_conflict_pca_0.25_5,ed4ee8b467ac406eaf4d3e982d469871,acled_sub_rain_text_conflict,False,False,True,True,True,True,0.25,5,sub_event_type,0.1973,53,0.4435,0.4320,0.9780,0.5993,0.3946,0.3741,0.9750,0.5407,0.6,10,1,1,5,5,0.1,1,0.6,0.8,0.25,5,sub_event_type
acled_sub_rain_text_conflict_0.25_5,239fcbd4c76748d2998678f99713a444,acled_sub_rain_text_conflict,False,False,True,True,True,False,0.25,5,sub_event_type,0.2116,797,0.4516,0.4252,1.0000,0.5967,0.3914,0.3717,0.9688,0.5373,1.0,5,0,1,7,5,0.1,3,0.6,0.6,0.25,5,sub_event_type
acled_sub_rain_text_all_pca_0.25_4,1c34929d90304e24b00a3a5d241d5ff5,acled_sub_rain_text_all,False,False,True,True,False,True,0.25,4,sub_event_type,0.1159,79,0.4203,0.4213,1.0000,0.5928,0.3710,0.3704,1.0000,0.5405,1.0,1,2,5,3,0,0.05,0,0.8,0.8,0.25,4,sub_event_type
acled_sub_rain_text_all_0.25_4,8c58eb07342d41d9a5256d17dc30d852,acled_sub_rain_text_all,False,False,True,True,False,False,0.25,4,sub_event_type,0.1880,797,0.4095,0.4213,1.0000,0.5928,0.3846,0.3704,1.0000,0.5405,1.0,1,2,1,3,1,0.1,5,0.8,1.0,0.25,4,sub_event_type
acled_sub_rain_text_all_pca_0.25_5,d61e0f255824495f84935dc91c5289aa,acled_sub_rain_text_all,False,False,True,True,False,True,0.25,5,sub_event_type,0.0387,79,0.4075,0.4213,1.0000,0.5928,0.3897,0.3704,1.0000,0.5405,0.8,1,0.1,1,5,5,0.05,1,0.8,0.8,0.25,5,sub_event_type
acled_sub_rain_text_all_0.25_5,dfe8c72c09924fb5a59db971d9411396,acled_sub_rain_text_all,False,False,True,True,False,False,0.25,5,sub_event_type,0.3152,797,0.4239,0.4213,1.0000,0.5928,0.3837,0.3704,1.0000,0.5405,0.6,1,0,1,3,1,0.01,1,0.6,1.0,0.25,5,sub_event_type
acled_event_rain_text_conflict_pca_0.25_4,6a85c05841214e1cb372e1d4d40cacbd,acled_event_rain_text_conflict,False,False,True,True,True,True,0.25,4,event_type,0.2859,35,0.4642,0.4369,0.9890,0.6061,0.3965,0.3800,1.0000,0.5508,0.6,10,0.1,1,5,0,0.05,3,0.8,1.0,0.25,4,event_type
acled_event_rain_text_conflict_0.25_4,35c1e11ff07147d8ba1b0b7a9eefb588,acled_event_rain_text_conflict,False,False,True,True,True,False,0.25,4,event_type,0.2079,779,0.4740,0.4252,1.0000,0.5967,0.3697,0.3715,0.9938,0.5408,0.8,10,1,5,7,1,0.1,3,0.6,0.8,0.25,4,event_type
acled_event_rain_text_conflict_pca_0.25_5,315f7a62861e440aabcfe1d20baf6df3,acled_event_rain_text_conflict,False,False,True,True,True,True,0.25,5,event_type,0.2136,35,0.4384,0.4286,0.9890,0.5980,0.3857,0.3732,0.9938,0.5427,0.8,10,1,5,7,1,0.1,3,1.0,1.0,0.25,5,event_type
acled_event_rain_text_conflict_0.25_5,fde218f455c74518b950fdd57d7be587,acled_event_rain_text_conflict,False,False,True,True,True,False,0.25,5,event_type,0.3515,779,0.4690,0.4213,1.0000,0.5928,0.3710,0.3704,1.0000,0.5405,0.6,10,0,1,7,1,0.01,3,1.0,1.0,0.25,5,event_type
