run_folder,run_name,optimal_threshold,n_predictors,onset_aupr,onset_precision_class1,onset_recall_class1,onset_f1_class1,active_aupr,active_precision_class1,active_recall_class1,active_f1_class1,food,rain,text,conflict_text,pca,k,n
450b551b65124e5bba4aa90b869fddec,acled_event_food_text_all_0.5_5,0.2052,782,0.3752,0.3721,1.0,0.5424,0.385,0.3814,1.0,0.5522,True,False,True,False,False,0.5,5
a2176fe893fd489598dc53d2a02021b9,acled_sub_food_text_conflict_pca_0.75_4,0.3854,56,0.4316,0.3881,0.6933,0.4976,0.3816,0.3417,0.6029,0.4362,True,False,True,True,True,0.75,4
1b1631b41a404324a52d7413531262a3,acled_sub_food_text_conflict_0.75_4,0.4577,800,0.4357,0.3934,0.64,0.4873,0.3678,0.3594,0.6765,0.4694,True,False,True,True,False,0.75,4
0296a76ef36943c484957d278ffdf913,acled_sub_food_text_conflict_pca_0.75_5,0.1555,56,0.4705,0.3541,0.9867,0.5211,0.3756,0.3178,1.0,0.4823,True,False,True,True,True,0.75,5
e5958365a71e4df5b76c68308d0fa6d1,acled_sub_food_text_conflict_0.75_5,0.3693,800,0.3955,0.3472,1.0,0.5155,0.3794,0.3148,1.0,0.4789,True,False,True,True,False,0.75,5
10a882fd75044df2a335a35af5ecf261,acled_sub_food_text_all_pca_0.75_4,0.2839,75,0.3674,0.3425,0.6667,0.4525,0.3422,0.32,0.5882,0.4145,True,False,True,False,True,0.75,4
13248cf35390440f8ce6671c0d05e71e,acled_sub_food_text_all_0.75_4,0.0553,800,0.3309,0.3472,1.0,0.5155,0.3373,0.3148,1.0,0.4789,True,False,True,False,False,0.75,4
6e88c7ada48741ff994021713f7f3af0,acled_sub_food_text_all_pca_0.75_5,0.0553,75,0.4341,0.3411,0.9733,0.5052,0.4063,0.3175,0.9853,0.4803,True,False,True,False,True,0.75,5
01b2e477be9a4786a85e2d6d38c6c68f,acled_sub_food_text_all_0.75_5,0.1434,800,0.4147,0.3458,0.9867,0.5121,0.4022,0.3146,0.9853,0.4769,True,False,True,False,False,0.75,5
ecc77f19e30a4686912a21a862d8c60d,acled_event_food_text_conflict_pca_0.75_4,0.063,38,0.3918,0.3472,1.0,0.5155,0.3811,0.3148,1.0,0.4789,True,False,True,True,True,0.75,4
