run_name,run_id,data_version,include_food,include_rain,include_text,conflict_only_embeddings,use_pca,k,n_splits,event_col,optimal_threshold,n_predictors,onset_aupr,onset_precision_class1,onset_recall_class1,onset_f1_class1,active_aupr,active_precision_class1,active_recall_class1,active_f1_class1,param_subsample,param_reg_lambda,param_reg_alpha,param_min_child_weight,param_max_depth,param_max_delta_step,param_learning_rate,param_gamma,param_colsample_bytree,param_colsample_bylevel,param_k,param_n_splits,param_event_col
acled_event_food_text_conflict_pca_1_4,99d4b787edc8466a920dabc6deab6051,acled_event_food_text_conflict,True,False,True,True,True,1,4,event_type,0.3163,37,0.3647,0.3056,1.0000,0.4681,0.3693,0.2685,1.0000,0.4234,0.8,10,1,5,3,1,0.01,0,0.6,1.0,1,4,event_type
acled_event_food_text_all_pca_1_4,6c38dc4f496d403d85c44eeb2de255e6,acled_event_food_text_all,True,False,True,False,True,1,4,event_type,0.1139,56,0.2989,0.2973,0.8333,0.4382,0.3708,0.2948,0.8793,0.4416,0.8,1,1,3,3,1,0.1,3,1.0,0.6,1,4,event_type
acled_sub_food_0.25_4,85522b877fad4ffd9be3254c03f53621,acled_sub_food,True,False,False,False,False,0.25,4,sub_event_type,0.4129,30,0.4508,0.4206,0.9890,0.5902,0.4279,0.4279,1.0000,0.5993,0.8,10,2,3,7,5,0.03,5,1.0,0.8,0.25,4,sub_event_type
acled_event_food_0.25_4,65ed9045711844c69a0ff05c53760c25,acled_event_food,True,False,False,False,False,0.25,4,event_type,0.1294,12,0.4222,0.4213,1.0000,0.5928,0.4649,0.4259,1.0000,0.5974,0.8,1,1,3,3,1,0.1,3,1.0,0.6,0.25,4,event_type
acled_sub_food_0.5_4,f2b9554a745748bdb8bf3a7e97631d7b,acled_sub_food,True,False,False,False,False,0.5,4,sub_event_type,0.3564,30,0.3912,0.3704,1.0000,0.5405,0.3901,0.3796,1.0000,0.5503,0.6,10,2,5,3,0,0.01,1,0.6,0.8,0.5,4,sub_event_type
acled_event_food_0.5_4,1b4ff8c7816449bf950ab326abac4eaa,acled_event_food,True,False,False,False,False,0.5,4,event_type,0.1361,12,0.3860,0.3674,0.9875,0.5356,0.3777,0.3796,1.0000,0.5503,0.8,1,0.1,3,7,5,0.05,5,0.8,0.8,0.5,4,event_type
acled_sub_food_1_4,5f1c9d81af304b8488f6567ffb531a4e,acled_sub_food,True,False,False,False,False,1,4,sub_event_type,0.0656,30,0.3585,0.3158,1.0000,0.4800,0.3286,0.2802,1.0000,0.4377,1.0,5,0,1,3,5,0.1,0,1.0,0.6,1,4,sub_event_type
acled_event_food_1_4,5f8b253a217545b892918b2568938619,acled_event_food,True,False,False,False,False,1,4,event_type,0.3355,12,0.3210,0.3036,0.7727,0.4359,0.3675,0.2857,0.9310,0.4372,0.8,10,2,1,7,5,0.03,1,0.6,0.6,1,4,event_type
acled_sub_rain_text_conflict_pca_0.25_4,8b1c8bf8e2d7484d8ecc3823885299da,acled_sub_rain_text_conflict,False,True,True,True,True,0.25,4,sub_event_type,0.2914,53,0.4258,0.4159,0.9780,0.5836,0.4277,0.4333,0.9891,0.6026,0.6,5,0.1,5,7,5,0.03,3,0.6,0.8,0.25,4,sub_event_type
acled_sub_rain_text_all_pca_0.25_4,6a3e46485b7a437db4b8c9ebfd58d07a,acled_sub_rain_text_all,False,True,True,False,True,0.25,4,sub_event_type,0.0740,72,0.4183,0.4213,1.0000,0.5928,0.4379,0.4259,1.0000,0.5974,0.6,1,1,3,5,0,0.1,5,0.6,1.0,0.25,4,sub_event_type
acled_event_rain_text_conflict_pca_0.25_4,2cecdeab69514daf8652450dd35cbafc,acled_event_rain_text_conflict,False,True,True,True,True,0.25,4,event_type,0.2348,35,0.4178,0.4245,0.9890,0.5941,0.4221,0.4327,0.9783,0.6000,0.6,1,1,5,7,5,0.03,1,0.8,0.6,0.25,4,event_type
acled_event_rain_text_all_pca_0.25_4,46d460f40eb044c09d7b6539bcf83602,acled_event_rain_text_all,False,True,True,False,True,0.25,4,event_type,0.1373,54,0.4207,0.4213,1.0000,0.5928,0.4243,0.4259,1.0000,0.5974,0.6,1,0.1,1,5,5,0.03,5,1.0,1.0,0.25,4,event_type
acled_sub_rain_text_conflict_pca_0.5_4,6503a1ef1a9a4a07828941d7bc0a4018,acled_sub_rain_text_conflict,False,True,True,True,True,0.5,4,sub_event_type,0.4004,53,0.3558,0.3692,0.9875,0.5374,0.3759,0.3796,1.0000,0.5503,0.6,10,0.1,5,5,5,0.01,1,0.6,0.8,0.5,4,sub_event_type
